"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"Dance Dance Revolution 2ndReMix Append Club Version Vol.1","Konami","Konami","November 25, 1999","Unreleased","Unreleased",""
"Dance Dance Revolution 2ndReMix Append Club Version Vol.2","Konami","Konami","December 22, 1999","Unreleased","Unreleased",""
"Dance Dance Revolution 3rdMix","Konami","Konami","June 1, 2000","Unreleased","Unreleased",""
"Dance Dance Revolution 4thMix","Konami","Konami","March 15, 2001","Unreleased","Unreleased",""
"Dance Dance Revolution 5thMix","Konami","Konami","September 20, 2001","Unreleased","Unreleased",""
"Dance Dance Revolution Best Hits","Konami","Konami","December 21, 2000","Unreleased","Unreleased",""
"Dance Dance Revolution Disney Mix•Dance Dance Revolution Disney's RaveJP•Dancing Stage Disney MixPAL,AUS","Konami","Konami","September 17, 2001","September 28, 2001","September 18, 2001",""
"Dance Dance Revolution Extra Mix","Konami","Konami","June 7, 2001","Unreleased","Unreleased",""
"Dance Dance Revolution Konamix","Konami","Konami","Unreleased","Unreleased","April 23, 2002",""
"Dancing Blade Katteni Momotenshi!","Konami","TV Tokyo","August 27, 1998","Unreleased","Unreleased",""
"Dancing Blade Katteni Momotenshi II: Tears of Eden","Konami","TV Tokyo","March 18, 1999","Unreleased","Unreleased",""
"Dancing Stage EuroMix","Konami","Konami","Unreleased","February 16, 2000AU,PAL","Unreleased",""
"Dancing Stage featuring Dreams Come True","Konami","Konami","April 20, 2000","Unreleased","Unreleased",""
"Dancing Stage featuring True Kiss Destination","Konami","Konami","December 9, 1999","Unreleased","Unreleased",""
"Dancing Stage Fever","Konami","Konami","Unreleased","October 24, 2003","Unreleased",""
"Dancing Stage Fusion","Konami","Konami","Unreleased","November 5, 2004","Unreleased",""
"Dancing Stage Party Edition","Konami","Konami","Unreleased","November 15, 2002","Unreleased",""
"Dance: PAL","Broadsworld Interactive","Big Ben Interactive","Unreleased","October 3, 2003","Unreleased",""
"Dance: PAL eXtra Trax","Broadsworld Interactive","Big Ben Interactive","Unreleased","April 30, 2004","Unreleased",""
"Dangan","Mediamuse","KSS","February 24, 2000","Unreleased","Unreleased",""
"Danger Girl","n-Space","THQ","Unreleased","December 15, 2000","September 14, 2000",""
"Dare Devil Derby 3D•Supersonic RacersPAL","Mindscape","Supersonic","November 27, 1997","October 1996","October 31, 1996",""
"Darius Gaiden","Nexus Interactive","Taito","December 20, 1996","Unreleased","Unreleased",""
"Dark Hunter: Jou Ijigen Gakuen","Koei","Koei","February 24, 2000","Unreleased","Unreleased",""
"Dark Hunter: Shita Youma no Mori","Koei","Koei","May 30, 1997","Unreleased","Unreleased",""
"Darklight Conflict","Electronic Arts","Rage Software","Unreleased","Unreleased","June 15, 1997",""
"Dark Seed","Cyberdreams","Gaga","October 27, 1995","Unreleased","Unreleased",""
"Dark Seed II","Cyberdreams","B-Factory","September 18, 1997","Unreleased","Unreleased",""
"Darkstalkers: The Night Warriors","Capcom","WW: CapcomPAL: Virgin Interactive","March 22, 1996","November 1996","June 10, 1996",""
"Darkstalkers 3","Capcom","Capcom","November 5, 1998","November 15, 1999","November 30, 1998",""
"Darkstone","Delphine Software International","Electronic Arts","Unreleased","Unreleased","January 28, 2001",""
"Dark Tales: From the Lost Soul","Sammy Studios","Sammy Studios","September 28, 1999","Unreleased","Unreleased",""
"Dave Mirra Freestyle BMX","Z-Axis","Acclaim","Unreleased","2000","September 30, 2000",""
"Dave Mirra Freestyle BMX: Maximum Remix","Z-Axis","Acclaim","Unreleased","June 8, 2001","May 21, 2001",""
"David Beckham Soccer","Rage Software Limited","Rage Software Limited","Unreleased","November 23, 2001","July 2, 2002",""
"Davis Cup Complete Tennis","Dome Software","Telstar","Unreleased","October 1, 1996","Unreleased",""
"Dead Ball Zone","Rage Software Limited","GT Interactive","Unreleased","July 1998","March 10, 1998",""
"Dead in the Water","ASC Games","Player 1","Unreleased","Unreleased","March 2, 1998",""
"Dead or Alive","Tecmo","Sony Computer Entertainment Europe","March 12, 1998","July 1, 1998","January 3, 1998",""
"Deadheat Road","Nihon Bussan","Nihon Bussan","April 12, 1996","Unreleased","Unreleased",""
"Deadly Skies","Funcom","Coconuts Japan","October 23, 1997","Unreleased","Unreleased",""
"Death Wing","Cybertech Designs","Cybertech Designs","October 26, 1996","Unreleased","Unreleased",""
"Deathtrap Dungeon","Asylum studios","Eidos Interactive","Unreleased","April 1998","January 4, 1998",""
"DeathMask","Electric Dreams Inc.","Vantan International","February 9, 1996","Unreleased","Unreleased",""
"Debut 21","TOSE","NEC Interchannel","September 10, 1998","Unreleased","Unreleased",""
"Deception III: Dark Delusion","Tecmo","Tecmo","December 9, 1999","Unreleased","March 1, 2000",""
"Deep Freeze","Talon","Sammy Corporation","January 14, 1999","Unreleased","Unreleased",""
"The Deep: Ushinawareta Shinkai","Marionette","Acclaim","October 18, 1996","Unreleased","Unreleased",""
"Deep Sea Adventure: Kaitei Kyuu Panthalassa no Nazo","Barnhouse Effect","Takara","March 20, 1997","Unreleased","Unreleased",""
"Defcon 5","Millennium Interactive","Data EastNA, PsygnosisPAL, MultisoftJP","May 17, 1996","February 1996","November 24, 1995",""
"Dekiru! Game Center","Shoeisha","Shoeisha","January 14, 1999","Unreleased","Unreleased",""
"Delta Force: Urban Warfare","Rebellion Developments","Novalogic","Unreleased","August 9, 2002","July 18, 2002",""
"Demolition Racer","Pitbull Syndicate","Infogrames","Unreleased","November 1, 1999","August 31, 1999",""
"Dengeki Construction: Ochige-Yarouze!","Fupac","MediaWorks","June 25, 1998","Unreleased","Unreleased",""
"Denki Groove Jigoku V","Opus","Sony Music Entertainment Japan","January 8, 1998","Unreleased","Unreleased",""
"Denpa Shounenteki Game","Hudson","Hudson","April 2, 1998","Unreleased","Unreleased",""
"Densetsu Kemono no Ana: Monster Complete World Ver. 2","Idea Factory","Idea Factory","October 28, 1999","Unreleased","Unreleased",""
"Densha Daisuki: Plarail de Ippai","Tomy Corporation","Tomy Corporation","December 23, 1998","Unreleased","Unreleased",""
"Densha de Go!•Simple 1500 Series Vol. 103: The Ganso Densha Utenshi - Densha de Go!JP","Taito","Taito","December 18, 1997","Unreleased","Unreleased",""
"Densha de Go! 2","Taito","Taito","March 18, 1999","Unreleased","Unreleased",""
"Densha de Go! Nagoya Railroad•Simple 1500 Series Vol. 102: The Densha UtenshuJP","Taito","Taito","January 27, 2000","Unreleased","Unreleased",""
"Densha de Go! Professional Shiyou","Taito","Taito","December 9, 1999","Unreleased","Unreleased",""
"DepthJP•FluidPAL•SubEU","Opus","SCEE","December 6, 1996","August 1, 1998","Unreleased",""
"Derby Jockey 2001","Asmik Ace","Asmik Ace","January 8, 2001","Unreleased","Unreleased",""
"Derby Jockey R","Graphic Research","Asmik Ace","February 28, 1997","Unreleased","Unreleased",""
"Derby Stallion","ASCII Corporation","ASCII Corporation","July 17, 1997","Unreleased","Unreleased",""
"Derby Stallion '99","ASCII Corporation","ASCII Corporation","September 30, 1999","Unreleased","Unreleased",""
"Descent","Parallax Software","Interplay","January 26, 1996","May 1996","March 12, 1996",""
"Descent II•Descent Maximum","Parallax Software","Interplay","Unreleased","May 1997","April 30, 1997",""
"Deserted Island","KSS","KSS","November 29, 1996","Unreleased","Unreleased",""
"Destrega","KOEI","SCEE","September 23, 1998","October 8, 1999","February 4, 1999",""
"Destruction Derby","Reflections Interactive","Psygnosis","February 9, 1996","October 20, 1995","November 16, 1995",""
"Destruction Derby 2","Reflections Interactive","Psygnosis","February 21, 1997","January 13, 1997","November 15, 1996",""
"Destruction Derby Raw","Studio 33 / Midway","SCEE","Unreleased","June 30, 2000","September 15, 2000",""
"Destructo 2•Simple 1500 Series Vol. 48: The Puzzle 2JP","Axes Art Amuse","Phoenix GamesPAL, D3PublisherJP","December 7, 2000","June 10, 2003","Unreleased",""
"Detana TwinBee Yahho! Deluxe Pack","KCET","Konami","September 29, 1995","Unreleased","Unreleased",""
"Detective Barbie: The Mystery Cruise","Runecraft","Mattel","Unreleased","Unreleased","November 28, 2000",""
"Detective Mouse","The Code Monkeys","Phoenix Games","Unreleased","2003","Unreleased",""
"DeviceReign","Starlight Marry","Media Works","February 25, 1999","Unreleased","Unreleased",""
"Devil Dice","Shift","SCEE","June 18, 1998","June 29, 1998","September 15, 1998",""
"Devilman","Bandai","Bandai","April 13, 2000","Unreleased","Unreleased",""
"Dexter's Laboratory: Mandark's Lab?","Red Lemon Studios","BAM! Entertainment","Unreleased","April 12, 2002","May 4, 2002",""
"Dezaemon Kids!","Athena","Athena","October 22, 1998","Unreleased","Unreleased",""
"Dezaemon Plus","Athena","Athena","May 24, 1996","Unreleased","Unreleased",""
"Diablo","Climax Group","Activision","Unreleased","April 1998","March 11, 1998",""
"Die Hard Trilogy","Probe Entertainment","Fox Interactive, EA Games","December 13, 1996","December 6, 1996","September 15, 1996",""
"Die Hard Trilogy 2: Viva Las Vegas","n-Space","Fox Interactive","Unreleased","February 24, 2000","February 24, 2000",""
"Diet Nyuumon Set Undou Kaishou!","Twilight Express","Twilight Express","December 20, 2001","Unreleased","Unreleased",""
"Digical League","Now Production","Aques","June 20, 1997","Unreleased","Unreleased",""
"DigiCro: Digital Number Crossword","Atlus","Atlus","November 1, 1996","Unreleased","Unreleased",""
"Digimon Digital Card Battle","BEC","Bandai","December 21, 2000","July 19, 2002","June 28, 2001",""
"Digimon Park","Chime","Bandai","July 26, 2001","Unreleased","Unreleased",""
"Digimon Rumble Arena","Bandai","Bandai","December 6, 2001","July 12, 2002","February 24, 2002",""
"Digimon Tamers: Pocket Culumon","Bandai","Bandai","July 26, 2001","Unreleased","Unreleased",""
"Digimon World","Bandai","Bandai","January 28, 1999","July 6, 2001","June 30, 2000",""
"Digimon World 2","BEC","Bandai","July 27, 2000","Unreleased","May 1, 2001",""
"Digimon World 3•Digimon World 2003EU","BEC","Bandai","July 4, 2002","November 29, 2002","June 1, 2002",""
"Digimon World: Digital Card Battle","Bandai","Bandai","December 22, 1999","Unreleased","Unreleased",""
"Digital Figure Iina","Natsume Co., Ltd.","Imagineer","October 22, 1998","Unreleased","Unreleased",""
"Digital Glider Airman","Ornith","ASK","September 14, 1999","Unreleased","Unreleased",""
"Dino Crisis","Capcom","Capcom","July 1, 1999","October 1, 1999","September 1, 1999",""
"Dino Crisis 2","Capcom","Capcom","September 13, 2000","November 24, 2000","October 1, 2000",""
"Dinomaster Party","Similis","LSP","Unreleased","2000","Unreleased",""
"Dinosaurs","The Code Monkeys","Phoenix Games","Unreleased","March 28, 2003","Unreleased",""
"Dioramos","","Ponos","November 30, 2000","Unreleased","Unreleased",""
"Dirt Jockey","DDL, Inc.","Mastiff","Unreleased","Unreleased","July 10, 2003",""
"Disc Derby","Dazz","Dazz","March 30, 2000","Unreleased","Unreleased",""
"Discworld","Perfect Entertainment","Psygnosis","Unreleased","October 1995","November 15, 1995",""
"Discworld II","Perfect Entertainment","Psygnosis","Unreleased","November 1997","September 24, 1997",""
"Discworld Noir","Perfect Entertainment","GT Interactive","Unreleased","2000","Unreleased",""
"Disney's Aladdin in Nasira's Revenge","Argonaut Games","SCEA","Unreleased","December 1, 2000","March 15, 2001",""
"Disney's Dinosaur","Disney Interactive Studios","Ubisoft","Unreleased","October 6, 2000","August 29, 2000",""
"Disney's Donald Duck: Goin' Quackers•Donald Duck: Quack AttackPAL","Ubisoft Shanghai","Ubisoft","Unreleased","December 15, 2000","November 14, 2000",""
"Disney's Hercules•Disney's Action Game featuring HerculesPAL","Eurocom","Disney Interactive Software","Unreleased","November 1997","June 20, 1997",""
"Disney's Learning with Mickey","Disney Interactive","SCEE","Unreleased","2002","Unreleased",""
"Disney's Lilo & Stitch•Lilo & Stitch: Trouble in ParadisePAL","Ubisoft","Ubisoft","Unreleased","September 27, 2002","June 14, 2002",""
"Disney's Peter Pan in Return to Neverland","Doki Denki","SCEA","Unreleased","February 14, 2002","February 14, 2002",""
"Disney's Magical Tetris Challenge","Capcom","CapcomJP, SCEEPAL","March 18, 1999","November 26, 1999","Unreleased",""
"Disney's Pooh's Party Game: In Search of the Treasure•Winnie l'Ourson : C'est la récréFR","Doki Denki","Electronic Arts","Unreleased","Unreleased","November 28, 2001",""
"Disney's Story Studio - Mulan","Kids Revolution","NewKidCo","Unreleased","September 17, 1999","December 15, 1999",""
"Disney's The Little Mermaid II","Blitz Games","THQ","Unreleased","2000","September 25, 2000",""
"Disney's Tarzan","Eurocom","SCEEPAL, KonamiJP, SCEANA","Unreleased","November 1999","June 30, 1999",""
"Disruptor","Insomniac Games","Interplay (PAL JP Versions), Universal Interactive (USA Version)","April 11, 1997","December 1996","November 30, 1996",""
"Diver's Dream/Dolphin's Dream","Konami","Konami","September 10, 1998","September 3, 2001","Unreleased",""
"The Divide: Enemies Within","Radical Entertainment","Viacom New Media","Unreleased","Unreleased","December 20, 1996",""
"Docchi Mecha!","SCEI","SCEI","April 27, 2000","Unreleased","Unreleased",""
"DoDonPachi","Cave","SPS","September 10, 1998","Unreleased","Unreleased",""
"The Dog Master","Visit","Visit","August 7, 2003","Unreleased","Unreleased",""
"Dodgem Arena","Formula Game Development","Project Two Interactive","Unreleased","1998","Unreleased",""
"Dokapon! Okori no Tetsuken","Asmik Ace Entertainment","Asmik Ace Entertainment","November 5, 1998","Unreleased","Unreleased",""
"Doki Doki On Air","Dream Japan","Bottom Up","June 11, 1998","Unreleased","Unreleased",""
"Doki Doki On Air 2","Dream Japan","Bottom Up","March 11, 1999","Unreleased","Unreleased",""
"Doki Doki Poyacchio","M2","King Records","September 10, 1998","Unreleased","Unreleased",""
"Doki Doki Pretty League","Xing Entertainment","Xing Entertainment","March 28, 1997","Unreleased","Unreleased",""
"Doki Doki Pretty League: Lovely Star","Xing Entertainment","Xing Entertainment","December 13, 2001","Unreleased","Unreleased",""
"Doki Doki Pretty League: Nekketsu Otome Seishunki","Xing Entertainment","Xing Entertainment","September 23, 1998","Unreleased","Unreleased",""
"Doki Doki Shutter Chance","Nippon Ichi Software","Nippon Ichi Software","October 23, 1997","Unreleased","Unreleased",""
"Doki Oki","Banpresto","Banpresto","December 22, 1995","Unreleased","Unreleased",""
"Doko Demo Issyo: Calpis Water Version","Sony","Sony","February 21, 2000","Unreleased","Unreleased",""
"Doko Demo Issyo","Sony","Sony","July 22, 1999","Unreleased","Unreleased",""
"Doko Demo Isshyo Tsuika Disk: Koneko Mo Isshyo (Expansion)","Sony","Sony","January 27, 2000","Unreleased","Unreleased",""
"Dokodemo Hamster 2","Interbec","Bec","August 31, 2000","Unreleased","Unreleased",""
"Dokodemo Hamster 4","Atelier Double","Bec","August 9, 2001","Unreleased","Unreleased",""
"Dokodemo Hamster B! Quick Club","Interbec","Bec","February 28, 2002","Unreleased","Unreleased",""
"Dokomademo Aoku...","Kid","Kid","February 21, 2002","Unreleased","Unreleased",""
"Dokonjou Gaeru: The Mahjong","Yuki","Bandai","January 24, 2002","Unreleased","Unreleased",""
"DonPachi","Cave","SPS","October 18, 1996","Unreleased","Unreleased",""
"Doom","Williams Entertainment","Williams EntertainmentNA, GT Interactive/InfogramesEU","November 17, 1997","December 1995","November 16, 1995",""
"Dora the Explorer: Barnyard Buddies","Imaginengine","Global Star and Nick Jr.","Unreleased","2004","November 18, 2003",""
"Doraemon 2: SOS! Otogi no Kuni","Pre Stage","Epoch Co.","February 21, 1997","Unreleased","Unreleased",""
"Doraemon 3: Makai no Dungeon","Kan's","Epoch Co.","December 14, 2000","Unreleased","Unreleased",""
"Doraemon: Nobita to Fukkatsu no Hoshi","SAS Sakata","Epoch Co.","February 16, 1996","Unreleased","Unreleased",""
"Doraemon: Himitsu no Yojigen Pocket","Bandai","Bandai","November 29, 2001","Unreleased","Unreleased",""
"Dosukoi Densetsu","KSS","KSS","May 20, 1999","Unreleased","Unreleased",""
"Dotsubo-Chan","Three Spirits","Universe Kaihatsu","September 14, 2000","Unreleased","Unreleased",""
"Double Dragon","Technos Japan","Urban Plant","April 26, 1996","Unreleased","Unreleased",""
"Douga de Puzzle! Puppukupu","Agenda","Argent","July 7, 1995","Unreleased","Unreleased",""
"Dōkyūsei 2","","ELF Corporation","August 7, 1997","Unreleased","Unreleased",""
"Doukyuusei Mahjong","Aroma","Aroma","January 17, 1997","Unreleased","Unreleased",""
"Doubutsu Chara Navi Uranai 2: Kosei Shinri / Renai Uranai Puzzle","Culture Brain","Culture Brain","September 18, 2003","Unreleased","Unreleased",""
"Doumu no Yabou: F1 GP Nippon","OZ Club","OZ Club","October 25, 1996","Unreleased","Unreleased",""
"Doumu no Yabou 2: The Race of Champions","OZ Club","OZ Club","November 19, 1998","Unreleased","Unreleased",""
